,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,SolvationFreeEnergy Value (kJ / mol),SolvationFreeEnergy Uncertainty (kJ / mol),Source
10,0c8b4d59a6af4925b021a913db14f136,298.15,101.325,Liquid,2,O,Solvent,1.0,,c1ccc(-c2ccccc2)cc1,Solute,,1,-11.2968,0.8368000000000001,10.1039/P29900000291
11,bdf71a2cfaba43c9a64d1ce5eaf6ea86,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC,Solute,,1,7.656720000000001,2.5104,10.1021/ct050097l
12,e6d74dd4ccde43cfbb67df24637aa38d,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCC,Solute,,1,8.368,0.8368000000000001,10.1039/P29900000291
13,5238d4c56db0435595efc8ba5038317c,298.15,101.325,Liquid,2,O,Solvent,1.0,,C=CC(C)C,Solute,,1,7.656720000000001,2.5104,10.1021/jp0264477
14,34e8825926ea4a0f979d609f9864d83b,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCCCCCCC,Solute,,1,13.22144,2.5104,10.1021/ct050097l
15,4db4656cd29241fcb5c1ea603c8bba5e,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCC(C)CC,Solute,,1,10.50184,2.5104,10.1021/ct050097l
16,052f34b0b78a44968538f4df0a88bb64,298.15,101.325,Liquid,2,O,Solvent,1.0,,c1cc2c3c(cccc3c1)CC2,Solute,,1,-13.1796,2.5104,10.1021/ct050097l
17,1dbceafc95fc41d3a04ac544f446b1b4,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCCCC1CCCC1,Solute,,1,10.6692,2.5104,10.1021/ct050097l
18,5a34545affac4107848fa5e70da847c4,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCCC(C)(C)C,Solute,,1,12.04992,2.5104,10.1021/ct050097l
19,fd7605d92107408f863e370aa479f974,298.15,101.325,Liquid,2,O,Solvent,1.0,,c1cc2ccc3cccc4ccc(c1)c2c34,Solute,,1,-18.91168,2.5104,10.1021/ct050097l
20,c64e8e80b32c4c739c8f30bb8e05dadd,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCC(C)(C)CC,Solute,,1,10.71104,2.5104,10.1021/ct050097l
21,14778d03131b4d538199838d2a9d098b,298.15,101.325,Liquid,2,O,Solvent,1.0,,C1CCCCC1,Solute,,1,5.14632,2.5104,10.1021/ct050097l
22,1f16d5654d5d40c29dcb674fe20b1de0,298.15,101.325,Liquid,2,O,Solvent,1.0,,C1CC1,Solute,,1,3.138,2.5104,10.1021/ct050097l
23,83c6e10f88714a54b5ec75b5b60e92f7,298.15,101.325,Liquid,2,O,Solvent,1.0,,C=Cc1ccccc1,Solute,,1,-5.18816,2.5104,10.1021/ct050097l
24,2bc900c738604b1db01ca7f2dcc86714,298.15,101.325,Liquid,2,O,Solvent,1.0,,c1ccc2c(c1)Cc1ccccc1C2,Solute,,1,-15.81552,0.4184,10.5281/zenodo.596537
25,82c449ad94ad4ffcab69719ecb74739a,298.15,101.325,Liquid,2,O,Solvent,1.0,,C=C(C)C,Solute,,1,4.85344,2.5104,10.1021/ct050097l
26,36c044163b9c42d3bc220cffec863bf5,298.15,101.325,Liquid,2,O,Solvent,1.0,,C=CC,Solute,,1,5.522880000000001,2.5104,10.1021/ct050097l
27,dc90b0ea42a74334b3e58ceb28a7afe7,298.15,101.325,Liquid,2,O,Solvent,1.0,,CCc1ccccc1C,Solute,,1,-3.5564,0.4184,10.5281/zenodo.596537
28,297412f749424b83876aa17e4b303c8d,298.15,101.325,Liquid,2,O,Solvent,1.0,,c1ccccc1,Solute,,1,-3.7656,0.8368000000000001,10.1039/P29900000291
29,74c772e1f7ae451e828818e9acba96ca,298.15,101.325,Liquid,2,O,Solvent,1.0,,CC(C)CCC(C)(C)C,Solute,,1,12.25912,2.5104,10.1021/ct050097l
